1 2	2 25
2 2	1 34
3 2	31 33
4 2	21 29
5 2	39 45
6 2	21 37
7 2	8 24
8 2	7 34
9 2	10 38
10 2	9 49
11 2	12 26
12 2	11 41
13 2	22 40
14 2	15 39
15 2	14 16
16 2	15 38
17 2	18 33
18 2	17 40
19 2	20 48
20 2	19 42
21 2	4 6
22 2	13 36
23 2	24 44
24 2	7 23
25 2	1 40
26 2	11 43
27 2	28 50
28 2	27 49
29 2	4 30
30 2	29 46
31 2	3 32
32 2	31 45
33 2	3 17
34 2	2 8
35 2	36 50
36 2	22 35
37 1	6
38 2	9 16
39 2	5 14
40 3	13 18 25
41 2	12 42
42 2	19 41
43 2	26 44
44 2	23 43
45 2	5 32
46 2	30 47
47 2	46 48
48 2	19 47
49 2	10 28
50 2	27 35
